,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1.0,1595.8,2022-01-03,1600.0,1594.0,1599.6,07:10,90.39285714285714,3360.0
2.0,1599.0,2022-01-03,1599.0,1595.8,1596.2,07:15,53.66325695581015,2444.0
3.0,1598.6,2022-01-03,1599.0,1597.4,1599.0,07:20,26.41184767277856,2836.0
4.0,1598.6,2022-01-03,1599.0,1597.0,1597.4,07:25,72.12577002053388,1948.0
5.0,1597.4,2022-01-03,1598.4,1597.4,1598.4,07:30,56.24401913875598,836.0
6.0,1597.8,2022-01-03,1598.0,1597.2,1597.8,07:35,238.5555555555556,198.0
7.0,1598.0,2022-01-03,1598.6,1597.4,1597.8,07:40,46.41100323624595,618.0
8.0,1597.8,2022-01-03,1599.8,1597.0,1598.0,07:45,40.78183069511356,2906.0
9.0,1597.8,2022-01-03,1598.4,1597.0,1597.8,07:50,357.56796116504853,206.0
10.0,1598.8,2022-01-03,1598.8,1597.0,1597.2,07:55,234.60142348754448,562.0
11.0,1597.8,2022-01-03,1598.8,1597.4,1598.8,08:00,186.6593625498008,502.0
12.0,1599.6,2022-01-03,1599.6,1597.8,1598.4,08:05,146.05612244897958,392.0
13.0,1600.2,2022-01-03,1601.0,1599.4,1599.4,08:10,26.32942603071948,2474.0
14.0,1599.6,2022-01-03,1601.6,1599.6,1600.8,08:15,39.24512099921936,2562.0
15.0,1601.0,2022-01-03,1601.2,1599.4,1599.6,08:20,85.72661870503597,1112.0
16.0,1605.0,2022-01-03,1606.0,1600.0,1600.4,08:25,34.56314903171485,7126.0
17.0,1605.2,2022-01-03,1606.0,1603.2,1604.2,08:30,50.89895833333333,2880.0
18.0,1605.2,2022-01-03,1606.0,1605.0,1605.4,08:35,75.25089605734767,1116.0
19.0,1607.8,2022-01-03,1607.8,1605.0,1605.2,08:40,45.66013071895425,1836.0
20.0,1607.0,2022-01-03,1607.8,1606.4,1607.0,08:45,117.39652870493993,1498.0
21.0,1607.8,2022-01-03,1607.8,1607.2,1607.2,08:50,51.23963133640553,868.0
22.0,1607.8,2022-01-03,1607.8,1606.6,1607.8,08:55,939.9496788008564,934.0
23.0,1607.6,2022-01-03,1611.0,1607.0,1608.0,09:00,19.308210574397624,17514.0
24.0,1608.0,2022-01-03,1609.6,1606.0,1608.0,09:05,19.14388705316912,6658.0
25.0,1608.2,2022-01-03,1608.2,1606.2,1608.0,09:10,140.36824324324326,1184.0
26.0,1607.8,2022-01-03,1609.8,1606.8,1608.2,09:15,30.55593607305936,3504.0
27.0,1607.0,2022-01-03,1608.6,1606.8,1607.2,09:20,30.49491279069768,1376.0
28.0,1608.0,2022-01-03,1610.0,1606.8,1606.8,09:25,14.0047911077041,5218.0
29.0,1609.2,2022-01-03,1610.0,1606.8,1608.0,09:30,78.99167591564928,1802.0
30.0,1606.8,2022-01-03,1609.6,1606.8,1609.2,09:35,60.90845070422535,1136.0
31.0,1607.8,2022-01-03,1608.6,1606.4,1607.8,09:40,42.96774193548387,1736.0
