,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1.0,344.94,2022-01-03,345.27,344.7,344.8,07:10,36.3120631552671,320480.0
2.0,345.2,2022-01-03,345.3,344.68,344.9,07:15,18.01142959880824,389340.0
3.0,345.36,2022-01-03,345.65,345.2,345.21,07:20,24.59335632873425,266720.0
4.0,345.47,2022-01-03,345.47,344.83,345.22,07:25,32.74373828590901,234760.0
5.0,345.08,2022-01-03,345.5,345.0,345.39,07:30,46.74820085050703,122280.0
6.0,345.09,2022-01-03,345.3,344.9,345.07,07:35,35.88181818181818,123200.0
7.0,345.08,2022-01-03,345.33,344.9,344.91,07:40,15.982177709296352,194700.0
8.0,344.94,2022-01-03,345.19,344.61,345.18,07:45,12.60475917796017,314340.0
9.0,344.95,2022-01-03,345.05,344.76,344.88,07:50,27.915397454621324,95860.0
10.0,345.38,2022-01-03,345.38,344.84,344.87,07:55,25.851925125551663,131420.0
11.0,345.12,2022-01-03,345.39,345.03,345.38,08:00,76.02360203340595,55080.0
12.0,345.32,2022-01-03,345.32,345.12,345.2,08:05,42.77504424778761,56500.0
13.0,345.4,2022-01-03,345.43,345.22,345.27,08:10,12.768684872439811,111320.0
14.0,345.5,2022-01-03,345.65,345.32,345.4,08:15,10.6711237453499,284940.0
15.0,345.5,2022-01-03,345.65,345.37,345.51,08:20,24.973785907509985,155260.0
16.0,345.6,2022-01-03,345.6,345.22,345.51,08:25,23.247175141242938,120360.0
17.0,345.56,2022-01-03,345.6,345.5,345.6,08:30,18.67091100026253,76180.0
18.0,346.15,2022-01-03,346.18,345.52,345.59,08:35,12.354848484848484,429000.0
19.0,346.4,2022-01-03,346.4,346.0,346.03,08:40,11.957632628294036,461440.0
20.0,346.7,2022-01-03,347.81,346.3,346.43,08:45,7.998738631786479,943420.0
21.0,347.2,2022-01-03,347.35,346.61,346.7,08:50,13.499468650371943,395220.0
22.0,346.82,2022-01-03,347.33,346.67,347.3,08:55,20.95160066234304,289880.0
23.0,346.88,2022-01-03,346.97,346.7,346.8,09:00,30.388613861386137,173720.0
24.0,347.24,2022-01-03,347.32,346.85,346.93,09:05,45.12768557173404,196420.0
25.0,346.75,2022-01-03,347.27,346.65,347.2,09:10,14.447929205117918,448620.0
26.0,346.39,2022-01-03,346.75,346.3,346.75,09:15,12.183309726156752,338880.0
