,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1.0,23042.0,2022-01-03,23080.0,23030.0,23078.0,07:10,25.73751600512164,1562.0
2.0,23070.0,2022-01-03,23080.0,23040.0,23042.0,07:15,35.67588932806324,506.0
3.0,23060.0,2022-01-03,23080.0,23054.0,23074.0,07:20,20.117268041237114,776.0
4.0,23076.0,2022-01-03,23076.0,23040.0,23054.0,07:25,12.257267441860463,1376.0
5.0,23080.0,2022-01-03,23086.0,23050.0,23076.0,07:30,11.998664886515352,1498.0
6.0,23126.0,2022-01-03,23126.0,23062.0,23076.0,07:35,11.496535796766745,3464.0
7.0,23136.0,2022-01-03,23158.0,23114.0,23122.0,07:40,7.440242494226328,3464.0
8.0,23130.0,2022-01-03,23138.0,23110.0,23120.0,07:45,22.4622641509434,742.0
9.0,23130.0,2022-01-03,23136.0,23118.0,23132.0,07:50,6.2567375886524825,1410.0
10.0,23158.0,2022-01-03,23158.0,23124.0,23130.0,07:55,14.79124579124579,1188.0
11.0,23160.0,2022-01-03,23176.0,23150.0,23158.0,08:00,22.15473441108545,866.0
12.0,23198.0,2022-01-03,23200.0,23170.0,23174.0,08:05,7.957931034482758,2900.0
13.0,23210.0,2022-01-03,23230.0,23190.0,23192.0,08:10,7.752307046979865,4768.0
14.0,23288.0,2022-01-03,23290.0,23210.0,23212.0,08:15,12.548705302096176,3244.0
15.0,23338.0,2022-01-03,23448.0,23280.0,23282.0,08:20,10.53300702811245,7968.0
16.0,23326.0,2022-01-03,23348.0,23292.0,23334.0,08:25,14.082105263157894,2850.0
17.0,23364.0,2022-01-03,23374.0,23330.0,23330.0,08:30,8.598422496570645,2916.0
18.0,23324.0,2022-01-03,23370.0,23322.0,23354.0,08:35,10.6912209889001,1982.0
19.0,23350.0,2022-01-03,23358.0,23298.0,23322.0,08:40,11.905087319665908,2634.0
20.0,23312.0,2022-01-03,23362.0,23304.0,23350.0,08:45,14.022748375116064,2154.0
21.0,23324.0,2022-01-03,23334.0,23300.0,23310.0,08:50,23.420529801324506,1812.0
22.0,23344.0,2022-01-03,23348.0,23322.0,23322.0,08:55,27.847025495750707,706.0
23.0,23328.0,2022-01-03,23354.0,23316.0,23340.0,09:00,14.867609254498715,1556.0
24.0,23316.0,2022-01-03,23346.0,23310.0,23328.0,09:05,15.67384370015949,1254.0
25.0,23330.0,2022-01-03,23330.0,23308.0,23328.0,09:10,13.555829228243022,1218.0
26.0,23272.0,2022-01-03,23330.0,23264.0,23330.0,09:15,7.091445427728614,5424.0
27.0,23286.0,2022-01-03,23292.0,23266.0,23272.0,09:20,12.99320882852292,1178.0
28.0,23272.0,2022-01-03,23290.0,23266.0,23286.0,09:25,6.217561521252796,1788.0
29.0,23300.0,2022-01-03,23300.0,23268.0,23272.0,09:30,14.704123711340204,970.0
30.0,23326.0,2022-01-03,23328.0,23288.0,23300.0,09:35,7.816666666666666,1800.0
31.0,23302.0,2022-01-03,23328.0,23302.0,23328.0,09:40,11.673813169984689,1306.0
32.0,23296.0,2022-01-03,23320.0,23286.0,23302.0,09:45,10.094093406593409,1456.0
33.0,23340.0,2022-01-03,23340.0,23282.0,23292.0,09:50,11.961871750433277,2308.0
34.0,23310.0,2022-01-03,23334.0,23296.0,23334.0,09:55,9.388248847926269,1736.0
35.0,23280.0,2022-01-03,23310.0,23280.0,23306.0,10:00,17.761006289308177,2862.0
36.0,23328.0,2022-01-03,23328.0,23276.0,23288.0,10:05,8.323116987179487,4992.0
37.0,23384.0,2022-01-03,23396.0,23328.0,23328.0,10:10,8.76973845025666,8182.0
38.0,23378.0,2022-01-03,23396.0,23358.0,23392.0,10:15,13.618731117824774,3310.0
39.0,23420.0,2022-01-03,23430.0,23378.0,23378.0,10:20,8.968920392584515,5502.0
40.0,23394.0,2022-01-03,23438.0,23380.0,23428.0,10:25,11.741722918675666,6222.0
41.0,23430.0,2022-01-03,23448.0,23390.0,23400.0,10:30,9.570100143061516,5592.0
42.0,23414.0,2022-01-03,23436.0,23400.0,23432.0,10:35,27.828220858895705,1630.0
43.0,23430.0,2022-01-03,23450.0,23402.0,23402.0,10:40,7.610087719298246,6840.0
44.0,23414.0,2022-01-03,23442.0,23402.0,23442.0,10:45,18.09599395313681,2646.0
45.0,23382.0,2022-01-03,23418.0,23382.0,23418.0,10:50,8.864186046511628,4300.0
46.0,23390.0,2022-01-03,23408.0,23364.0,23388.0,10:55,10.545581655480984,3576.0
47.0,23412.0,2022-01-03,23448.0,23390.0,23392.0,11:00,18.276030599235018,4706.0
48.0,23370.0,2022-01-03,23424.0,23370.0,23406.0,11:05,16.116579177602798,4572.0
49.0,23378.0,2022-01-03,23398.0,23370.0,23384.0,11:10,17.82827832292596,2242.0
50.0,23354.0,2022-01-03,23386.0,23346.0,23386.0,11:15,10.093989280245022,5224.0
51.0,23338.0,2022-01-03,23364.0,23322.0,23354.0,11:20,9.65042372881356,4720.0
52.0,23342.0,2022-01-03,23364.0,23322.0,23330.0,11:25,17.069444444444443,2376.0
53.0,23332.0,2022-01-03,23348.0,23328.0,23342.0,11:30,20.21414913957935,2092.0
54.0,23306.0,2022-01-03,23346.0,23302.0,23334.0,11:35,6.571428571428571,7518.0
55.0,23324.0,2022-01-03,23324.0,23278.0,23306.0,11:40,5.070452261306532,9950.0
56.0,23320.0,2022-01-03,23324.0,23306.0,23314.0,11:45,14.786650774731823,1678.0
57.0,23330.0,2022-01-03,23338.0,23308.0,23310.0,11:50,16.551159618008185,1466.0
58.0,23358.0,2022-01-03,23362.0,23322.0,23330.0,11:55,23.525454545454547,1100.0
