,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1.0,6588.5,2022-01-03,6597.0,6586.0,6595.5,07:10,8.851694915254237,12272.0
2.0,6596.0,2022-01-03,6597.0,6586.0,6590.0,07:15,36.17692307692308,3640.0
3.0,6596.5,2022-01-03,6597.0,6593.0,6596.0,07:20,13.829129574678536,4044.0
4.0,6617.0,2022-01-03,6617.0,6593.5,6596.5,07:25,5.563513409667256,26026.0
5.0,6610.0,2022-01-03,6616.5,6604.5,6615.0,07:30,14.745871070857753,3754.0
6.0,6609.0,2022-01-03,6611.0,6608.5,6610.0,07:35,7.3360400829302,5788.0
7.0,6609.5,2022-01-03,6614.0,6608.0,6609.0,07:40,34.14021887824897,1462.0
8.0,6610.5,2022-01-03,6611.0,6603.5,6610.0,07:45,34.86733185513673,2706.0
9.0,6611.5,2022-01-03,6612.0,6608.0,6610.5,07:50,102.52482269503548,564.0
10.0,6613.5,2022-01-03,6617.0,6608.0,6611.5,07:55,43.77694090382387,1726.0
11.0,6619.0,2022-01-03,6619.0,6613.0,6616.5,08:00,65.28826530612245,1176.0
12.0,6628.5,2022-01-03,6632.5,6617.0,6619.0,08:05,31.568692543411643,3916.0
13.0,6624.0,2022-01-03,6628.5,6621.0,6628.5,08:10,46.18982630272953,1612.0
14.0,6621.0,2022-01-03,6624.0,6620.0,6623.5,08:15,17.18232323232323,1980.0
15.0,6609.5,2022-01-03,6621.0,6606.0,6620.0,08:20,67.5,2242.0
16.0,6612.5,2022-01-03,6612.5,6601.0,6609.5,08:25,53.83776824034335,2330.0
17.0,6618.0,2022-01-03,6620.0,6612.5,6612.5,08:30,55.03658536585366,1230.0
18.0,6622.5,2022-01-03,6624.0,6618.0,6618.0,08:35,32.601027397260275,1168.0
19.0,6627.5,2022-01-03,6628.0,6619.0,6623.0,08:40,38.07834394904459,1570.0
20.0,6631.5,2022-01-03,6631.5,6623.0,6628.0,08:45,22.351973684210527,3648.0
21.0,6633.5,2022-01-03,6635.0,6626.0,6630.0,08:50,32.91888888888889,1800.0
22.0,6639.0,2022-01-03,6639.0,6632.5,6634.0,08:55,26.92699884125145,1726.0
23.0,6640.0,2022-01-03,6641.5,6637.0,6639.0,09:00,11.531867588932808,4048.0
24.0,6639.0,2022-01-03,6643.5,6639.0,6641.5,09:05,20.74044495151169,3506.0
25.0,6635.0,2022-01-03,6641.0,6633.0,6639.5,09:10,47.19241011984021,1502.0
26.0,6628.5,2022-01-03,6636.0,6628.0,6635.0,09:15,17.898823529411764,2550.0
27.0,6629.0,2022-01-03,6632.5,6628.0,6628.0,09:20,26.95217391304348,920.0
28.0,6636.0,2022-01-03,6636.0,6628.5,6631.0,09:25,29.100346020761247,578.0
29.0,6629.0,2022-01-03,6637.5,6629.0,6636.0,09:30,21.82947976878613,1384.0
30.0,6630.5,2022-01-03,6633.5,6629.0,6631.0,09:35,10.689828080229226,1396.0
31.0,6624.0,2022-01-03,6631.5,6621.0,6631.5,09:40,7.624921433060968,6364.0
32.0,6624.0,2022-01-03,6625.0,6622.0,6625.0,09:45,9.467123287671232,730.0
33.0,6631.5,2022-01-03,6632.0,6624.5,6625.0,09:50,22.570866141732285,1778.0
34.0,6622.5,2022-01-03,6631.0,6620.0,6631.0,09:55,13.818819031435854,4708.0
35.0,6627.5,2022-01-03,6631.0,6620.0,6621.0,10:00,26.122303921568623,8160.0
36.0,6640.0,2022-01-03,6640.0,6625.0,6627.5,10:05,16.763133892739877,10964.0
37.0,6645.5,2022-01-03,6646.0,6638.0,6640.0,10:10,15.980032935364347,9716.0
38.0,6650.0,2022-01-03,6655.0,6644.0,6645.0,10:15,5.602704809883651,33348.0
39.0,6659.0,2022-01-03,6659.0,6648.5,6648.5,10:20,16.9153928667203,7458.0
40.0,6659.0,2022-01-03,6665.0,6655.0,6657.5,10:25,14.150498338870433,9030.0
41.0,6668.0,2022-01-03,6673.0,6656.0,6659.5,10:30,10.552789957871209,23262.0
