,c,date,h,l,o,time,v
0,2730.0,2013-01-04,2730.0,2725.0,2725.0,09:00,11000.0
1,2730.0,2013-01-04,2730.0,2730.0,2730.0,09:05,400.0
2,2720.0,2013-01-04,2725.0,2720.0,2725.0,09:10,1000.0
3,2735.0,2013-01-04,2735.0,2730.0,2730.0,09:15,600.0
4,2740.0,2013-01-04,2740.0,2730.0,2730.0,09:30,1600.0
5,2735.0,2013-01-04,2735.0,2735.0,2735.0,09:45,800.0
6,2730.0,2013-01-04,2730.0,2730.0,2730.0,09:55,600.0
7,2710.0,2013-01-04,2725.0,2710.0,2725.0,10:00,1600.0
8,2700.0,2013-01-04,2715.0,2700.0,2710.0,10:10,1600.0
9,2690.0,2013-01-04,2700.0,2685.0,2700.0,10:20,1800.0
10,2680.0,2013-01-04,2685.0,2680.0,2685.0,10:25,800.0
11,2690.0,2013-01-04,2690.0,2685.0,2685.0,10:45,1400.0
12,2700.0,2013-01-04,2700.0,2690.0,2690.0,10:55,1200.0
13,2710.0,2013-01-04,2710.0,2695.0,2695.0,11:00,800.0
14,2720.0,2013-01-04,2720.0,2715.0,2715.0,11:05,1000.0
15,2720.0,2013-01-04,2725.0,2720.0,2725.0,11:10,400.0
16,2730.0,2013-01-04,2730.0,2720.0,2720.0,11:15,2000.0
17,2735.0,2013-01-04,2735.0,2730.0,2730.0,11:20,1000.0
18,2725.0,2013-01-04,2725.0,2725.0,2725.0,11:25,400.0
19,2720.0,2013-01-04,2720.0,2720.0,2720.0,11:30,200.0
20,2710.0,2013-01-04,2710.0,2695.0,2695.0,12:30,5000.0
21,2715.0,2013-01-04,2715.0,2715.0,2715.0,12:40,200.0
22,2710.0,2013-01-04,2710.0,2710.0,2710.0,12:45,400.0
23,2710.0,2013-01-04,2710.0,2710.0,2710.0,13:00,400.0
24,2720.0,2013-01-04,2720.0,2715.0,2715.0,13:05,2200.0
25,2720.0,2013-01-04,2720.0,2720.0,2720.0,13:15,1400.0
26,2720.0,2013-01-04,2720.0,2720.0,2720.0,13:20,1200.0
27,2725.0,2013-01-04,2725.0,2725.0,2725.0,13:30,1400.0
28,2730.0,2013-01-04,2730.0,2730.0,2730.0,13:35,800.0
29,2735.0,2013-01-04,2735.0,2730.0,2730.0,13:45,2000.0
30,2740.0,2013-01-04,2740.0,2740.0,2740.0,13:55,1400.0
31,2745.0,2013-01-04,2745.0,2745.0,2745.0,14:00,1200.0
32,2740.0,2013-01-04,2740.0,2740.0,2740.0,14:05,1400.0
33,2740.0,2013-01-04,2740.0,2740.0,2740.0,14:10,200.0
34,2740.0,2013-01-04,2740.0,2740.0,2740.0,14:20,200.0
35,2740.0,2013-01-04,2740.0,2740.0,2740.0,14:25,400.0
36,2740.0,2013-01-04,2740.0,2740.0,2740.0,14:35,400.0
37,2735.0,2013-01-04,2740.0,2735.0,2740.0,14:40,2400.0
38,2730.0,2013-01-04,2730.0,2730.0,2730.0,14:45,1000.0
39,2725.0,2013-01-04,2725.0,2725.0,2725.0,14:50,400.0
40,2720.0,2013-01-04,2720.0,2720.0,2720.0,14:55,1200.0
41,2725.0,2013-01-04,2725.0,2725.0,2725.0,15:00,4200.0
42,2735.0,2013-01-07,2750.0,2735.0,2750.0,09:00,10800.0
43,2730.0,2013-01-07,2730.0,2730.0,2730.0,09:05,200.0
44,2725.0,2013-01-07,2730.0,2720.0,2730.0,09:10,3200.0
45,2725.0,2013-01-07,2725.0,2720.0,2720.0,09:15,600.0
46,2715.0,2013-01-07,2720.0,2715.0,2720.0,09:20,600.0
47,2710.0,2013-01-07,2715.0,2710.0,2715.0,09:25,600.0
48,2700.0,2013-01-07,2705.0,2700.0,2705.0,09:30,1000.0
49,2700.0,2013-01-07,2700.0,2700.0,2700.0,09:35,400.0
50,2700.0,2013-01-07,2700.0,2700.0,2700.0,09:40,400.0
51,2705.0,2013-01-07,2705.0,2705.0,2705.0,09:45,1000.0
52,2705.0,2013-01-07,2705.0,2705.0,2705.0,09:50,200.0
53,2715.0,2013-01-07,2715.0,2710.0,2710.0,09:55,1400.0
54,2710.0,2013-01-07,2710.0,2710.0,2710.0,10:00,200.0
55,2710.0,2013-01-07,2710.0,2705.0,2705.0,10:05,800.0
56,2705.0,2013-01-07,2705.0,2705.0,2705.0,10:10,400.0
57,2700.0,2013-01-07,2705.0,2700.0,2700.0,10:15,1200.0
58,2690.0,2013-01-07,2700.0,2690.0,2700.0,10:25,2200.0
59,2690.0,2013-01-07,2690.0,2690.0,2690.0,10:30,400.0
