,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1.0,1727.6,2022-01-03,1731.2,1726.0,1730.0,07:10,68.39801864801865,5148.0
2.0,1730.2,2022-01-03,1730.6,1727.4,1728.2,07:15,116.12761780104712,1528.0
3.0,1728.8,2022-01-03,1730.2,1726.8,1730.2,07:20,52.71397941680961,2332.0
4.0,1729.2,2022-01-03,1729.6,1727.2,1728.0,07:25,104.79528301886792,1060.0
5.0,1728.8,2022-01-03,1729.6,1727.2,1728.8,07:30,24.33801605504588,3488.0
6.0,1729.8,2022-01-03,1730.0,1728.2,1728.8,07:35,49.30471584038694,1654.0
7.0,1729.0,2022-01-03,1730.2,1728.2,1730.0,07:40,23.85411471321696,1604.0
8.0,1727.2,2022-01-03,1729.0,1727.0,1728.2,07:45,10.441276202219482,6488.0
9.0,1730.2,2022-01-03,1730.2,1727.0,1728.0,07:50,19.00935596170584,4596.0
10.0,1729.4,2022-01-03,1730.0,1727.6,1728.6,07:55,121.1530612244898,1176.0
11.0,1729.8,2022-01-03,1730.0,1729.4,1729.8,08:00,49.38329764453962,934.0
12.0,1729.8,2022-01-03,1730.0,1729.2,1729.4,08:05,57.68939393939394,792.0
13.0,1731.0,2022-01-03,1731.0,1729.8,1729.8,08:10,10.80239520958084,3006.0
14.0,1731.0,2022-01-03,1731.2,1730.6,1730.8,08:15,23.80314960629921,2032.0
15.0,1732.8,2022-01-03,1733.8,1731.0,1731.0,08:20,43.020521353300055,3606.0
16.0,1733.6,2022-01-03,1733.6,1732.6,1732.8,08:25,59.24561403508772,912.0
17.0,1733.4,2022-01-03,1734.0,1733.0,1733.8,08:30,97.23947368421052,380.0
18.0,1735.0,2022-01-03,1736.0,1733.2,1733.4,08:35,36.575190575190575,2886.0
19.0,1737.4,2022-01-03,1737.4,1735.0,1735.2,08:40,80.48910256410257,1560.0
20.0,1737.8,2022-01-03,1738.8,1737.6,1737.6,08:45,38.47298245614035,2850.0
21.0,1738.8,2022-01-03,1741.0,1736.0,1737.8,08:50,17.81394533987386,8562.0
22.0,1737.8,2022-01-03,1738.8,1736.8,1738.6,08:55,25.90791420118343,2704.0
23.0,1743.4,2022-01-03,1743.4,1737.8,1737.8,09:00,30.241978193146416,12840.0
24.0,1741.0,2022-01-03,1744.0,1741.0,1743.4,09:05,69.1050753370341,2522.0
25.0,1741.0,2022-01-03,1743.0,1739.0,1741.2,09:10,60.78197064989518,5724.0
26.0,1739.6,2022-01-03,1742.0,1736.2,1741.0,09:15,39.89853076216713,4356.0
27.0,1739.8,2022-01-03,1741.0,1739.6,1739.8,09:20,27.320613690007868,2542.0
28.0,1741.0,2022-01-03,1741.0,1739.0,1739.8,09:25,26.776239907727795,1734.0
29.0,1739.4,2022-01-03,1741.8,1738.2,1740.8,09:30,54.56417569880205,3506.0
30.0,1737.4,2022-01-03,1739.4,1737.4,1739.2,09:35,57.33057228915663,1328.0
31.0,1738.2,2022-01-03,1740.6,1736.4,1738.2,09:40,23.54241564175339,6342.0
32.0,1737.0,2022-01-03,1739.8,1736.0,1739.2,09:45,67.45555555555555,1260.0
33.0,1738.8,2022-01-03,1739.4,1736.6,1736.8,09:50,8.718402882017411,6662.0
34.0,1738.4,2022-01-03,1739.4,1737.0,1738.8,09:55,12.090996629754454,8308.0
35.0,1739.6,2022-01-03,1742.8,1737.2,1738.4,10:00,36.81341672250763,26862.0
36.0,1740.0,2022-01-03,1743.0,1737.0,1738.4,10:05,53.26458964563299,15182.0
37.0,1742.4,2022-01-03,1745.8,1740.2,1740.2,10:10,40.223450503043104,16102.0
38.0,1745.4,2022-01-03,1748.4,1743.0,1743.0,10:15,33.2437947546457,45526.0
39.0,1747.2,2022-01-03,1749.8,1745.8,1746.4,10:20,50.04418049270991,15912.0
40.0,1746.2,2022-01-03,1750.0,1745.0,1747.2,10:25,39.48739495798319,11186.0
41.0,1750.0,2022-01-03,1751.6,1747.6,1748.6,10:30,45.96163765312701,21714.0
42.0,1752.8,2022-01-03,1753.8,1750.4,1750.8,10:35,42.27567014993185,17608.0
43.0,1754.0,2022-01-03,1754.8,1752.0,1752.0,10:40,42.707094525322944,9754.0
44.0,1749.0,2022-01-03,1754.6,1749.0,1754.0,10:45,59.80020342923569,6882.0
45.0,1752.4,2022-01-03,1753.0,1747.4,1749.0,10:50,36.219675065399976,14526.0
46.0,1749.4,2022-01-03,1752.4,1747.2,1751.8,10:55,91.6978397593656,7314.0
47.0,1752.6,2022-01-03,1756.0,1750.2,1751.0,11:00,41.75631583115546,25254.0
48.0,1753.0,2022-01-03,1756.0,1752.0,1753.4,11:05,29.852021388641337,24686.0
49.0,1751.4,2022-01-03,1755.2,1751.2,1753.4,11:10,88.10196604110813,11190.0
50.0,1752.0,2022-01-03,1755.0,1751.0,1751.4,11:15,56.57674067687002,9278.0
51.0,1748.8,2022-01-03,1752.8,1748.2,1752.0,11:20,46.765533980582525,10300.0
52.0,1749.4,2022-01-03,1749.8,1747.2,1748.4,11:25,18.22429906542056,17762.0
53.0,1747.0,2022-01-03,1749.4,1746.8,1749.4,11:30,54.74416163736552,7622.0
54.0,1748.0,2022-01-03,1748.6,1745.8,1748.4,11:35,48.83499369482976,15860.0
55.0,1749.2,2022-01-03,1750.2,1746.2,1747.6,11:40,12.256950942387382,29924.0
56.0,1751.0,2022-01-03,1752.0,1749.6,1750.0,11:45,143.12959418070443,10448.0
57.0,1751.0,2022-01-03,1751.0,1749.8,1750.4,11:50,38.9645436638214,6092.0
58.0,1752.6,2022-01-03,1752.6,1750.0,1750.2,11:55,24.75078027465668,6408.0
59.0,1754.0,2022-01-03,1755.4,1752.6,1752.6,12:00,18.90730984524201,18222.0
60.0,1755.4,2022-01-03,1757.0,1753.0,1753.0,12:05,27.89099886061527,10532.0
61.0,1758.6,2022-01-03,1758.8,1756.0,1756.0,12:10,43.33846153846154,6630.0
62.0,1758.8,2022-01-03,1759.0,1757.6,1757.8,12:15,28.44238975817923,5624.0
