,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1.0,13155.0,2022-01-03,13188.5,13151.0,13174.5,07:10,19.79649122807017,570.0
2.0,13170.0,2022-01-03,13170.0,13154.0,13166.0,07:15,39.34615384615385,130.0
3.0,13159.0,2022-01-03,13180.0,13159.0,13170.0,07:20,62.07627118644068,118.0
4.0,13150.0,2022-01-03,13180.0,13132.5,13164.0,07:25,12.13452380952381,840.0
5.0,13138.5,2022-01-03,13155.5,13134.0,13155.5,07:30,19.674698795180724,166.0
6.0,13161.0,2022-01-03,13161.0,13135.5,13153.0,07:35,42.11320754716981,106.0
7.0,13150.0,2022-01-03,13163.5,13150.0,13150.5,07:40,56.85294117647059,68.0
8.0,13145.5,2022-01-03,13155.0,13140.5,13150.0,07:45,7.051155115511551,606.0
9.0,13155.0,2022-01-03,13174.5,13145.0,13145.5,07:50,28.769565217391303,230.0
10.0,13161.0,2022-01-03,13165.0,13155.0,13155.5,07:55,79.56666666666666,60.0
11.0,13150.0,2022-01-03,13164.5,13150.0,13155.5,08:00,39.47142857142857,140.0
12.0,13158.0,2022-01-03,13158.0,13145.5,13150.0,08:05,24.99375,160.0
13.0,13150.5,2022-01-03,13162.5,13147.0,13151.0,08:10,76.66666666666667,54.0
14.0,13171.0,2022-01-03,13171.0,13150.5,13152.0,08:15,18.39655172413793,116.0
15.0,13156.5,2022-01-03,13175.0,13151.5,13155.0,08:20,14.208695652173914,690.0
16.0,13174.5,2022-01-03,13175.0,13157.0,13157.0,08:25,113.06666666666666,30.0
17.0,13170.5,2022-01-03,13180.0,13165.0,13171.5,08:30,20.2964824120603,398.0
18.0,13172.0,2022-01-03,13177.5,13170.0,13170.0,08:35,45.27272727272727,66.0
19.0,13169.0,2022-01-03,13172.0,13161.0,13172.0,08:40,13.858333333333333,240.0
20.0,13176.0,2022-01-03,13178.0,13169.5,13170.0,08:45,19.73913043478261,276.0
21.0,13180.0,2022-01-03,13180.0,13167.0,13177.0,08:50,19.10377358490566,106.0
22.0,13170.0,2022-01-03,13179.0,13170.0,13179.0,08:55,27.214285714285715,70.0
23.0,13166.0,2022-01-03,13170.0,13166.0,13170.0,09:00,80.28125,32.0
24.0,13164.5,2022-01-03,13174.0,13163.0,13163.0,09:05,6.077464788732394,284.0
