,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1.0,600.2,2022-01-03,601.5,600.15,600.8,07:10,27.864496132245417,37748.0
2.0,601.0,2022-01-03,601.0,600.25,600.25,07:15,53.63623349769365,12574.0
3.0,601.75,2022-01-03,602.25,601.0,601.0,07:20,24.65414313290913,27974.0
4.0,602.85,2022-01-03,602.85,601.85,602.1,07:25,28.445116836429,16690.0
5.0,602.45,2022-01-03,603.3,601.9,602.85,07:30,21.557855040470933,21744.0
6.0,603.4,2022-01-03,603.4,602.15,602.15,07:35,30.10068742418116,14838.0
7.0,603.1,2022-01-03,603.55,602.55,603.3,07:40,24.8770835984222,15718.0
8.0,602.35,2022-01-03,603.3,601.6,602.6,07:45,67.34873949579831,8330.0
9.0,602.45,2022-01-03,602.65,601.9,602.05,07:50,195.4313326551373,1966.0
10.0,602.8,2022-01-03,603.0,602.15,602.3,07:55,152.06629672897196,3424.0
11.0,603.5,2022-01-03,603.7,602.85,602.85,08:00,42.415467155194975,7642.0
12.0,603.1,2022-01-03,603.55,603.0,603.25,08:05,38.80599407992106,8108.0
13.0,603.35,2022-01-03,604.0,602.8,603.1,08:10,24.94321329639889,38266.0
14.0,603.6,2022-01-03,603.95,603.15,603.5,08:15,32.28623285829524,14876.0
15.0,603.05,2022-01-03,603.85,602.9,603.55,08:20,17.802886031216257,20374.0
16.0,603.3,2022-01-03,603.5,602.95,603.15,08:25,21.556912637828667,11790.0
17.0,603.2,2022-01-03,603.7,602.95,603.55,08:30,322.88214285714287,1120.0
18.0,603.85,2022-01-03,603.95,603.05,603.2,08:35,46.37709576584257,7038.0
19.0,604.55,2022-01-03,604.55,603.7,603.85,08:40,9.854369371407884,44194.0
20.0,605.25,2022-01-03,605.45,604.55,604.55,08:45,14.54683537169588,70972.0
21.0,604.95,2022-01-03,605.3,604.15,605.25,08:50,18.1647954475546,39012.0
22.0,605.15,2022-01-03,605.35,604.55,604.95,08:55,16.31713633325908,35912.0
23.0,605.55,2022-01-03,605.65,605.15,605.4,09:00,42.54159081361154,14282.0
24.0,605.35,2022-01-03,605.6,605.3,605.55,09:05,24.24585591329296,12548.0
25.0,605.0,2022-01-03,605.35,604.7,605.35,09:10,41.50212360867018,13656.0
26.0,604.5,2022-01-03,604.95,604.15,604.8,09:15,74.87582964601769,7232.0
27.0,603.9,2022-01-03,604.8,603.6,604.5,09:20,21.49508980488435,30956.0
28.0,604.3,2022-01-03,604.3,603.3,603.85,09:25,16.875849731663685,33540.0
29.0,604.0,2022-01-03,604.5,603.5,604.3,09:30,6.972838167525074,73780.0
30.0,603.25,2022-01-03,604.2,603.25,604.2,09:35,30.89220628150446,10316.0
31.0,603.7,2022-01-03,604.0,603.0,603.3,09:40,47.54399441340782,7160.0
32.0,604.25,2022-01-03,604.25,603.7,603.7,09:45,88.81840311587148,4108.0
33.0,604.4,2022-01-03,604.5,603.95,604.25,09:50,9.228451588114757,31232.0
34.0,603.9,2022-01-03,604.45,603.1,604.45,09:55,60.9302038295244,9714.0
35.0,604.15,2022-01-03,604.25,602.55,603.7,10:00,20.80223047361861,77024.0
36.0,605.0,2022-01-03,605.0,603.75,604.15,10:05,19.834695009242143,54100.0
37.0,605.25,2022-01-03,605.6,604.65,605.0,10:10,42.55281388137495,30314.0
38.0,604.75,2022-01-03,605.9,604.35,605.2,10:15,11.314098093047416,134770.0
39.0,605.9,2022-01-03,605.95,604.65,604.65,10:20,17.43798849093876,69858.0
40.0,608.6,2022-01-03,610.0,605.6,605.8,10:25,4.794810991130937,872922.0
41.0,610.65,2022-01-03,611.2,608.3,608.5,10:30,19.29399867173821,99378.0
42.0,611.4,2022-01-03,611.45,610.0,610.65,10:35,18.426274615592124,74140.0
43.0,612.2,2022-01-03,614.35,611.15,611.15,10:40,26.89467001647892,148068.0
44.0,610.55,2022-01-03,612.7,610.4,612.2,10:45,9.559986651092942,167804.0
45.0,610.0,2022-01-03,611.0,609.8,610.6,10:50,16.00303270402448,73202.0
46.0,610.6,2022-01-03,610.95,609.15,610.0,10:55,10.732680180828702,138916.0
47.0,611.25,2022-01-03,612.75,610.35,610.55,11:00,16.335168574079802,129320.0
48.0,612.15,2022-01-03,612.5,610.75,611.25,11:05,33.61500868111376,31102.0
49.0,613.4,2022-01-03,614.0,612.1,612.4,11:10,13.745546218487394,184450.0
50.0,611.6,2022-01-03,613.8,611.6,613.4,11:15,25.597730112453142,48020.0
51.0,610.65,2022-01-03,612.0,610.65,611.65,11:20,29.766126004355336,26634.0
52.0,610.9,2022-01-03,611.6,610.5,610.65,11:25,51.54408189379399,15630.0
53.0,608.95,2022-01-03,610.95,608.6,610.95,11:30,28.411516000934363,42810.0
54.0,608.45,2022-01-03,609.45,608.3,608.9,11:35,29.206558969377845,39122.0
55.0,608.3,2022-01-03,608.5,607.05,608.45,11:40,20.103030984829005,62224.0
56.0,607.1,2022-01-03,609.0,607.1,608.3,11:45,31.87102185819312,40534.0
