,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1.0,294.37,2022-01-03,295.0,294.34,294.97,07:10,45.95351507888955,200280.0
2.0,295.0,2022-01-03,295.2,294.41,294.42,07:15,34.1577773165923,192740.0
3.0,295.0,2022-01-03,295.19,294.84,295.0,07:20,46.1320656420943,76780.0
4.0,295.17,2022-01-03,295.2,294.75,295.0,07:25,49.66044925792218,99720.0
5.0,295.12,2022-01-03,295.2,294.76,295.2,07:30,32.68937666286583,210480.0
6.0,295.08,2022-01-03,295.16,294.88,295.15,07:35,51.40805888223553,80160.0
7.0,294.97,2022-01-03,295.12,294.8,294.92,07:40,32.81338264963013,59480.0
8.0,294.7,2022-01-03,294.97,294.61,294.97,07:45,29.018469338483825,82840.0
9.0,294.72,2022-01-03,294.85,294.52,294.7,07:50,19.04031240138845,126760.0
10.0,295.1,2022-01-03,295.1,294.58,294.7,07:55,41.09827907941116,96460.0
11.0,295.1,2022-01-03,295.15,294.9,295.09,08:00,25.385615251299825,92320.0
12.0,295.22,2022-01-03,295.39,295.06,295.1,08:05,5.858874878758487,309300.0
13.0,295.32,2022-01-03,295.5,295.18,295.32,08:10,15.639386349405134,159700.0
14.0,295.47,2022-01-03,295.5,295.2,295.31,08:15,25.64041095890411,108040.0
15.0,295.58,2022-01-03,295.67,295.42,295.46,08:20,8.391939944685895,202480.0
16.0,295.55,2022-01-03,295.65,295.47,295.58,08:25,31.09356136820925,29820.0
17.0,295.59,2022-01-03,295.67,295.54,295.55,08:30,14.76454054054054,92500.0
18.0,295.64,2022-01-03,295.64,295.56,295.59,08:35,20.833390119250424,58700.0
19.0,296.33,2022-01-03,296.47,295.6,295.6,08:40,7.111517008406002,763740.0
20.0,296.35,2022-01-03,296.7,296.23,296.3,08:45,15.999931995919756,294100.0
21.0,296.7,2022-01-03,296.78,296.23,296.23,08:50,15.106043329532495,245560.0
22.0,296.55,2022-01-03,296.8,296.36,296.7,08:55,18.534016551193226,207840.0
23.0,296.85,2022-01-03,296.95,296.55,296.55,09:00,17.965163006565543,353360.0
24.0,296.7,2022-01-03,296.88,296.6,296.85,09:05,26.47619769557308,131920.0
25.0,296.43,2022-01-03,296.72,296.13,296.7,09:10,56.56227486838459,144360.0
26.0,295.89,2022-01-03,296.44,295.88,296.4,09:15,25.34244779473733,213580.0
27.0,296.39,2022-01-03,296.4,295.87,295.89,09:20,30.22832177161153,149920.0
28.0,296.62,2022-01-03,296.62,296.2,296.3,09:25,25.64665495768801,125260.0
29.0,296.3,2022-01-03,296.74,296.13,296.62,09:30,33.86260603532193,143820.0
30.0,296.15,2022-01-03,296.43,296.1,296.24,09:35,37.54193912063134,88700.0
31.0,296.25,2022-01-03,296.25,295.86,296.22,09:40,30.435384845762204,133560.0
32.0,296.12,2022-01-03,296.3,296.0,296.26,09:45,18.64074074074074,178200.0
33.0,296.71,2022-01-03,296.8,296.0,296.1,09:50,7.408285794071888,501340.0
34.0,296.6,2022-01-03,296.71,296.44,296.71,09:55,21.897135892748324,164100.0
35.0,296.71,2022-01-03,297.29,296.45,296.57,10:00,46.93392593597856,1178980.0
36.0,297.14,2022-01-03,297.28,296.71,296.71,10:05,56.300209619851564,706040.0
37.0,298.3,2022-01-03,298.45,297.1,297.14,10:10,25.00414404771007,2615800.0
38.0,298.46,2022-01-03,298.98,298.21,298.3,10:15,28.586896907121627,2173380.0
39.0,298.45,2022-01-03,298.85,298.34,298.45,10:20,14.094459242501642,1096240.0
40.0,298.35,2022-01-03,298.6,298.23,298.5,10:25,21.272848490327245,884960.0
41.0,299.27,2022-01-03,299.68,298.36,298.36,10:30,19.5435054356179,1951940.0
42.0,300.47,2022-01-03,300.77,299.39,299.39,10:35,16.65250394259331,3157820.0
43.0,300.67,2022-01-03,301.2,300.11,300.47,10:40,31.37645855047411,1573480.0
44.0,300.51,2022-01-03,300.84,300.51,300.67,10:45,18.814740700172727,949480.0
45.0,300.49,2022-01-03,300.62,300.12,300.51,10:50,20.253944079975007,1024320.0
46.0,300.25,2022-01-03,300.56,299.64,300.39,10:55,19.266353018625928,1762060.0
47.0,302.08,2022-01-03,302.4,299.11,300.2,11:00,13.078562343511267,5000360.0
48.0,302.75,2022-01-03,302.87,302.05,302.06,11:05,17.77513597795344,2757800.0
49.0,303.1,2022-01-03,303.43,302.68,302.75,11:10,11.706338909856292,2204480.0
50.0,302.35,2022-01-03,303.27,302.06,303.13,11:15,15.216576434819714,1499840.0
51.0,301.96,2022-01-03,302.52,301.83,302.27,11:20,13.017899761336515,1030740.0
52.0,302.05,2022-01-03,302.5,301.88,301.91,11:25,23.18661388988845,833700.0
53.0,301.7,2022-01-03,302.17,301.7,302.0,11:30,16.139558995327103,684800.0
54.0,301.7,2022-01-03,302.0,301.59,301.74,11:35,24.181606423048965,605320.0
55.0,302.17,2022-01-03,302.31,301.6,301.78,11:40,10.202006894186866,1108180.0
56.0,301.53,2022-01-03,302.3,301.26,302.17,11:45,14.191756767421673,1013680.0
57.0,300.8,2022-01-03,301.95,300.74,301.54,11:50,13.994637444625788,943580.0
58.0,301.05,2022-01-03,301.11,300.65,300.8,11:55,13.675487566156749,827580.0
59.0,301.29,2022-01-03,301.4,301.01,301.05,12:00,12.974276676900176,644940.0
60.0,300.8,2022-01-03,301.34,300.61,301.29,12:05,17.80004698244565,468260.0
61.0,300.57,2022-01-03,300.94,300.3,300.78,12:10,13.444919114569226,812260.0
62.0,300.87,2022-01-03,301.16,300.5,300.65,12:15,21.26770732699445,393340.0
63.0,300.77,2022-01-03,301.13,300.7,300.98,12:20,32.71272705826846,339120.0
64.0,300.63,2022-01-03,301.11,300.6,300.77,12:25,23.485228903789714,933580.0
65.0,301.09,2022-01-03,301.17,300.65,300.7,12:30,20.534283613081847,462320.0
66.0,300.8,2022-01-03,301.2,300.8,301.13,12:35,21.91880922867768,500180.0
67.0,300.93,2022-01-03,301.0,300.8,300.84,12:40,33.099515445184736,165100.0
68.0,300.94,2022-01-03,301.0,300.84,300.84,12:45,15.678040286144578,212480.0
69.0,301.14,2022-01-03,301.14,300.84,300.9,12:50,15.282740843336413,519840.0
70.0,301.0,2022-01-03,301.22,300.82,301.14,12:55,13.952804247854738,421860.0
71.0,300.6,2022-01-03,301.0,300.41,300.98,13:00,15.998598417379624,684940.0
72.0,300.62,2022-01-03,300.69,300.39,300.6,13:05,43.67969186557037,250540.0
73.0,300.71,2022-01-03,300.77,300.36,300.62,13:10,83.5240625,224000.0
74.0,301.06,2022-01-03,301.2,300.75,300.75,13:15,33.64028173738051,596300.0
75.0,301.27,2022-01-03,301.38,301.02,301.02,13:20,33.86802760207016,452140.0
76.0,301.59,2022-01-03,301.67,301.2,301.27,13:25,21.97077125328659,456400.0
77.0,301.86,2022-01-03,301.92,301.58,301.58,13:30,12.45496427991557,985440.0
78.0,301.6,2022-01-03,301.87,301.57,301.86,13:35,21.574624272435063,230220.0
79.0,301.29,2022-01-03,301.66,301.2,301.6,13:40,16.56700391736888,709660.0
80.0,300.9,2022-01-03,301.3,300.78,301.28,13:45,12.218036995589491,1519100.0
81.0,301.56,2022-01-03,301.61,300.85,300.9,13:50,16.051652067726558,851660.0
82.0,302.2,2022-01-03,302.39,301.56,301.57,13:55,8.359211782172968,1508720.0
83.0,301.79,2022-01-03,302.2,301.5,302.14,14:00,16.20489901746725,439680.0
84.0,302.2,2022-01-03,302.32,301.56,301.8,14:05,11.301835350445538,902280.0
85.0,302.08,2022-01-03,302.34,302.0,302.2,14:10,33.79451986919037,201820.0
86.0,302.0,2022-01-03,302.1,301.9,302.08,14:15,18.66174327081916,205820.0
87.0,301.92,2022-01-03,302.04,301.8,302.0,14:20,11.584853090172238,355320.0
88.0,301.85,2022-01-03,302.0,301.6,301.95,14:25,21.952351543942992,210500.0
89.0,301.75,2022-01-03,301.85,301.51,301.85,14:30,18.5455857120574,256440.0
90.0,301.79,2022-01-03,301.8,301.5,301.75,14:35,23.031531113790223,215660.0
91.0,301.88,2022-01-03,301.94,301.7,301.79,14:40,15.189415847310585,207480.0
92.0,301.91,2022-01-03,301.95,301.82,301.88,14:45,18.471712775878142,128680.0
93.0,301.86,2022-01-03,302.09,301.77,301.9,14:50,11.981877632454,360880.0
94.0,301.27,2022-01-03,301.95,300.05,301.87,14:55,5.870368763243728,2765460.0
95.0,301.2,2022-01-03,301.44,301.11,301.23,15:00,27.931113973828733,294980.0
96.0,300.89,2022-01-03,301.28,300.78,301.27,15:05,25.555559195439955,305260.0
97.0,301.24,2022-01-03,301.4,300.8,300.81,15:10,21.837251675091103,340280.0
98.0,301.67,2022-01-03,301.67,301.04,301.15,15:15,20.730744527110208,373660.0
99.0,301.76,2022-01-03,301.95,301.54,301.67,15:20,26.78414977733345,220060.0
100.0,301.5,2022-01-03,301.75,301.4,301.75,15:25,29.61882098431585,184900.0
101.0,301.65,2022-01-03,301.75,301.43,301.5,15:30,18.969814782456755,228920.0
102.0,301.86,2022-01-03,301.89,301.66,301.67,15:35,15.618367346938776,284200.0
103.0,301.86,2022-01-03,301.95,301.63,301.86,15:40,20.19510466637593,183440.0
104.0,301.88,2022-01-03,302.0,301.56,301.86,15:45,12.247915839618896,654940.0
105.0,301.97,2022-01-03,302.1,301.89,301.89,15:50,15.848424127156637,294440.0
106.0,301.89,2022-01-03,302.08,301.74,301.97,15:55,25.674051821254224,159780.0
107.0,301.9,2022-01-03,302.03,301.7,301.89,16:00,20.170289300474515,261320.0
108.0,301.63,2022-01-03,301.9,301.51,301.85,16:05,24.7995927168184,166960.0
109.0,301.8,2022-01-03,301.8,301.59,301.59,16:10,50.86993950674732,85960.0
110.0,301.88,2022-01-03,301.9,301.66,301.8,16:15,15.549476390543676,318940.0
111.0,301.96,2022-01-03,301.99,301.65,301.89,16:20,10.407314227375483,548520.0
112.0,301.93,2022-01-03,302.07,301.64,301.96,16:25,11.389271875281608,443880.0
113.0,301.92,2022-01-03,302.09,301.83,301.93,16:30,17.380528972948536,265420.0
114.0,301.86,2022-01-03,302.06,301.74,302.0,16:35,27.081998424369747,152320.0
115.0,302.27,2022-01-03,302.27,301.86,301.86,16:40,8.796170610211707,642400.0
116.0,302.45,2022-01-03,302.47,302.07,302.23,16:45,12.660850498749266,647620.0
117.0,302.2,2022-01-03,302.45,302.02,302.45,16:50,24.215770582517013,267460.0
118.0,302.12,2022-01-03,302.25,302.1,302.22,16:55,32.043243243243246,192400.0
119.0,303.39,2022-01-03,303.42,301.9,302.15,17:00,7.187631573533748,2916620.0
120.0,302.98,2022-01-03,303.55,302.86,303.42,17:05,14.733552275433974,1108360.0
121.0,302.99,2022-01-03,303.1,302.86,302.98,17:10,22.222387870329253,315260.0
122.0,302.79,2022-01-03,303.06,302.55,303.0,17:15,20.98074840833297,461780.0
123.0,302.85,2022-01-03,303.0,302.57,302.78,17:20,23.79210426076073,367540.0
124.0,302.7,2022-01-03,302.81,302.58,302.8,17:25,35.0387792565397,130740.0
125.0,303.82,2022-01-03,303.82,302.6,302.69,17:30,11.439224669131436,1493040.0
126.0,303.64,2022-01-03,303.88,303.42,303.83,17:35,33.03069868995633,687000.0
127.0,303.46,2022-01-03,303.76,303.34,303.64,17:40,23.119940206254828,595380.0
128.0,302.79,2022-01-03,303.6,302.56,303.59,17:45,22.62641864051469,830020.0
129.0,302.77,2022-01-03,303.1,302.53,302.78,17:50,36.87020213871476,596620.0
130.0,302.92,2022-01-03,303.27,302.7,302.77,17:55,17.521605277625067,909500.0
131.0,302.98,2022-01-03,303.27,302.84,303.0,18:00,24.453526590074617,675440.0
132.0,303.15,2022-01-03,303.22,302.8,302.98,18:05,31.806300114547536,349200.0
133.0,303.44,2022-01-03,303.46,302.94,303.15,18:10,22.54847460456575,479220.0
134.0,302.93,2022-01-03,303.87,302.93,303.4,18:15,9.092315862142213,1883100.0
135.0,303.2,2022-01-03,303.25,302.84,302.91,18:20,26.560279336138382,342240.0
136.0,303.0,2022-01-03,303.33,302.85,303.17,18:25,16.719466816189215,392360.0
137.0,303.17,2022-01-03,303.25,302.94,303.0,18:30,15.703841901603097,361800.0
138.0,303.18,2022-01-03,303.29,303.02,303.2,18:35,15.47591083413231,500640.0
139.0,302.7,2022-01-03,302.7,302.7,302.7,23:55,3.401024375750843,1548260.0
140.0,307.69,2022-01-04,309.78,305.5,305.51,07:00,11.670341717689888,1933760.0
141.0,307.08,2022-01-04,307.7,306.76,307.45,07:05,13.851803524365666,774040.0
142.0,308.0,2022-01-04,308.0,307.0,307.09,07:10,16.238317618013625,672380.0
143.0,308.02,2022-01-04,308.7,307.84,308.0,07:15,16.40433599629501,1036440.0
144.0,308.0,2022-01-04,308.07,307.3,308.03,07:20,25.75902170003597,333640.0
145.0,307.44,2022-01-04,308.11,307.34,307.86,07:25,25.04280338664158,340160.0
146.0,307.79,2022-01-04,307.83,307.3,307.44,07:30,23.536698980234167,158860.0
147.0,308.2,2022-01-04,308.29,307.66,307.7,07:35,29.88567097494814,250680.0
148.0,309.01,2022-01-04,309.5,308.2,308.25,07:40,15.165419130288925,953880.0
149.0,308.57,2022-01-04,309.22,308.42,309.13,07:45,23.950135784416126,478700.0
150.0,308.77,2022-01-04,309.03,308.45,308.58,07:50,15.270461811722914,563000.0
151.0,308.23,2022-01-04,308.84,308.23,308.78,07:55,23.04645179732724,279860.0
152.0,308.94,2022-01-04,308.99,308.25,308.34,08:00,36.97894394347866,215140.0
153.0,308.8,2022-01-04,308.94,308.34,308.94,08:05,37.323232323232325,184140.0
154.0,308.4,2022-01-04,308.8,308.24,308.77,08:10,28.512556504269213,238920.0
155.0,308.49,2022-01-04,308.6,308.25,308.4,08:15,25.327833764380628,224260.0
156.0,308.49,2022-01-04,308.55,308.19,308.55,08:20,39.8978027593255,195700.0
157.0,308.62,2022-01-04,308.68,308.4,308.4,08:25,64.16728624535315,64560.0
158.0,308.86,2022-01-04,309.2,308.6,308.63,08:30,14.667817199122384,373740.0
159.0,309.1,2022-01-04,309.14,308.8,308.85,08:35,31.14559122308005,246100.0
160.0,309.41,2022-01-04,309.7,309.01,309.1,08:40,9.906433845072073,853300.0
161.0,309.31,2022-01-04,309.41,309.07,309.39,08:45,22.120100464266688,262780.0
162.0,309.5,2022-01-04,309.55,309.3,309.36,08:50,21.811380490587563,350600.0
163.0,309.1,2022-01-04,309.57,309.0,309.55,08:55,20.590879265091864,518160.0
164.0,309.71,2022-01-04,309.71,309.01,309.07,09:00,28.75738708315745,284280.0
165.0,309.66,2022-01-04,309.91,309.51,309.69,09:05,10.04908672515461,695300.0
166.0,310.02,2022-01-04,310.1,309.6,309.61,09:10,5.458292954568465,1382740.0
167.0,309.58,2022-01-04,310.03,309.5,310.0,09:15,14.4281914893617,624160.0
168.0,308.87,2022-01-04,309.6,308.7,309.58,09:20,8.923107780546927,1171640.0
169.0,308.89,2022-01-04,309.0,308.72,308.82,09:25,22.545917630057804,276800.0
170.0,309.18,2022-01-04,309.18,308.72,308.9,09:30,19.039303920951603,317780.0
171.0,309.39,2022-01-04,309.5,309.15,309.18,09:35,19.36589039083162,272240.0
172.0,308.97,2022-01-04,309.5,308.88,309.38,09:40,9.948154733509693,461180.0
173.0,308.53,2022-01-04,308.98,308.53,308.9,09:45,8.113201549043408,346020.0
174.0,308.59,2022-01-04,308.71,308.5,308.53,09:50,6.215820461844319,261560.0
175.0,308.44,2022-01-04,308.7,308.35,308.68,09:55,7.673861653627512,355340.0
176.0,308.0,2022-01-04,308.4,306.8,308.37,10:00,25.9831008583691,3019680.0
177.0,308.64,2022-01-04,308.8,307.83,307.9,10:05,22.65483190485682,1204080.0
178.0,307.83,2022-01-04,308.8,307.7,308.78,10:10,25.25265270473677,1076260.0
179.0,306.75,2022-01-04,307.97,306.56,307.83,10:15,15.728500671854004,1280040.0
180.0,306.9,2022-01-04,307.41,306.0,306.75,10:20,12.215408179863006,2213240.0
181.0,306.52,2022-01-04,307.22,306.44,306.9,10:25,28.04553544444072,595580.0
182.0,305.26,2022-01-04,306.51,304.51,306.51,10:30,13.885872963439237,3390520.0
183.0,305.52,2022-01-04,305.75,304.91,305.37,10:35,20.046792590821507,1422020.0
184.0,306.1,2022-01-04,306.1,305.21,305.5,10:40,22.073943113189166,1026600.0
185.0,305.99,2022-01-04,306.43,305.65,306.0,10:45,24.91113328944854,941860.0
186.0,306.1,2022-01-04,306.3,305.8,305.99,10:50,64.82631857781963,339760.0
187.0,306.14,2022-01-04,306.27,305.97,306.1,10:55,21.956923293852228,283680.0
188.0,306.74,2022-01-04,306.99,306.08,306.11,11:00,30.901768575908097,1364940.0
189.0,305.85,2022-01-04,306.7,305.69,306.7,11:05,14.78243340267678,1086380.0
190.0,304.17,2022-01-04,306.0,304.04,305.92,11:10,20.87215864914062,2186460.0
191.0,304.67,2022-01-04,304.82,303.25,304.17,11:15,18.53745370736365,3288860.0
192.0,303.71,2022-01-04,304.78,303.46,304.67,11:20,46.21086156459376,1059700.0
193.0,302.94,2022-01-04,303.97,302.51,303.81,11:25,26.161410800033696,2136660.0
194.0,302.9,2022-01-04,303.11,302.1,302.86,11:30,26.2264830248805,1958160.0
195.0,302.24,2022-01-04,303.0,301.63,303.0,11:35,21.507075182750032,1958960.0
196.0,303.3,2022-01-04,303.47,302.18,302.3,11:40,24.45702683079209,1184460.0
197.0,303.1,2022-01-04,303.94,302.8,303.25,11:45,24.4185020643318,1274020.0
198.0,302.35,2022-01-04,303.17,302.16,303.1,11:50,22.23756031363088,795840.0
199.0,303.0,2022-01-04,303.27,302.07,302.35,11:55,19.420436141764903,1593060.0
