,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1.0,39.91,2022-01-03,39.955,39.9,39.91,07:10,1185.9532520325204,49200.0
2.0,39.91,2022-01-03,39.99,39.9,39.91,07:15,36.53911205073996,94600.0
3.0,39.995,2022-01-03,40.0,39.91,39.915,07:20,40.56651376146789,130800.0
4.0,39.99,2022-01-03,40.045,39.965,39.995,07:25,66.71468926553672,70800.0
5.0,39.955,2022-01-03,40.0,39.95,40.0,07:30,45.05844155844156,46200.0
6.0,39.955,2022-01-03,39.96,39.95,39.95,07:35,592.9591836734694,19600.0
7.0,40.015,2022-01-03,40.02,39.98,39.98,07:40,58.828,25000.0
8.0,39.945,2022-01-03,39.985,39.945,39.98,07:45,17.338043478260868,92000.0
9.0,40.015,2022-01-03,40.02,39.93,39.94,07:50,132.29054054054055,14800.0
10.0,39.995,2022-01-03,40.015,39.98,39.985,07:55,120.55357142857144,22400.0
11.0,40.02,2022-01-03,40.02,39.995,39.995,08:00,57.13461538461539,31200.0
12.0,39.98,2022-01-03,40.02,39.98,40.02,08:05,77.86065573770492,12200.0
13.0,39.955,2022-01-03,39.975,39.955,39.97,08:10,30.116438356164384,43800.0
14.0,39.93,2022-01-03,39.945,39.9,39.945,08:15,13.584521384928715,98200.0
15.0,39.915,2022-01-03,39.96,39.915,39.93,08:20,18.469428007889547,101400.0
16.0,39.92,2022-01-03,39.925,39.91,39.91,08:25,1238.0,800.0
17.0,39.96,2022-01-03,39.96,39.92,39.945,08:30,48.71875,16000.0
18.0,39.935,2022-01-03,39.96,39.935,39.945,08:35,31.91592920353982,22600.0
19.0,39.96,2022-01-03,39.96,39.925,39.935,08:40,32.7379746835443,79000.0
20.0,40.045,2022-01-03,40.045,39.96,39.96,08:45,53.31683168316832,60600.0
21.0,40.05,2022-01-03,40.08,40.045,40.045,08:50,54.621212121212125,33000.0
22.0,40.07,2022-01-03,40.105,40.045,40.05,08:55,31.47075208913649,143600.0
23.0,40.055,2022-01-03,40.13,40.055,40.07,09:00,48.09478260869565,115000.0
24.0,40.065,2022-01-03,40.13,40.05,40.05,09:05,72.64363636363636,55000.0
