,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1.0,504.0,2022-01-03,505.0,504.0,504.3,07:10,98.23079350055214,12678.0
2.0,504.8,2022-01-03,504.9,504.1,504.2,07:15,480.5864197530864,8262.0
3.0,505.0,2022-01-03,505.0,504.6,504.8,07:20,316.89167267483776,5548.0
4.0,505.5,2022-01-03,505.6,504.6,505.0,07:25,305.7991013071895,12240.0
5.0,505.7,2022-01-03,505.9,505.4,505.5,07:30,44.67372881355932,6844.0
6.0,505.9,2022-01-03,505.9,505.4,505.6,07:35,144.17058404558404,2808.0
7.0,505.8,2022-01-03,506.1,505.4,505.8,07:40,40.04182247589057,10162.0
8.0,504.9,2022-01-03,505.9,504.9,505.8,07:45,256.5909031068984,15192.0
9.0,504.9,2022-01-03,505.0,504.6,504.7,07:50,28911.325770547945,2336.0
10.0,505.0,2022-01-03,505.5,504.8,504.9,07:55,218.9931972789116,2352.0
11.0,505.7,2022-01-03,505.7,505.0,505.0,08:00,150.09399823477494,2266.0
12.0,505.7,2022-01-03,505.8,505.4,505.7,08:05,222.03381147540983,976.0
13.0,505.8,2022-01-03,505.8,505.2,505.7,08:10,26.393606870229007,8384.0
14.0,505.4,2022-01-03,506.0,505.3,505.8,08:15,78.62841091492777,8722.0
15.0,505.4,2022-01-03,505.8,505.1,505.5,08:20,76.47493270524899,5944.0
16.0,505.4,2022-01-03,505.4,505.0,505.2,08:25,51.58264705882353,3400.0
17.0,505.2,2022-01-03,505.4,505.0,505.4,08:30,77.47927689594356,2268.0
18.0,505.4,2022-01-03,505.7,505.0,505.1,08:35,233.6302972802024,3162.0
19.0,506.6,2022-01-03,507.1,505.4,505.4,08:40,28.1216429699842,17724.0
20.0,507.2,2022-01-03,507.7,506.7,506.9,08:45,60.68140432098765,12960.0
21.0,507.7,2022-01-03,507.7,506.9,507.0,08:50,158.80963855421686,3320.0
22.0,507.9,2022-01-03,508.0,507.5,507.7,08:55,38.03208906352325,15270.0
23.0,508.0,2022-01-03,508.0,507.5,507.9,09:00,28.985633203263568,11276.0
24.0,508.2,2022-01-03,508.6,507.8,508.0,09:05,32.11085126286249,12828.0
25.0,508.0,2022-01-03,508.3,507.1,508.1,09:10,678.2379952988583,11912.0
